Section,Subsection,Field,Type,Option,Price,Price_large,Pricing,Applicable,Feature,Build Type,Duplicate,Quantity,Image URL
Windows,Custom,Custom Field,text,,,,each,"small, large",,,,,
Cupolas,Cupolas Style,Cupola Style,radio,Windowpane Style,270,275,each,"small, large",,,,,
Cupolas,Cupolas Style,Cupola Style,radio,Traditional Style,270,275,each,"small, large",,,,,
Cupolas,Cupolas Style,Cupola Style,radio,None,0,,each,"small, large",,,,,
Cupolas,Cupolas Style,Copper Colored Metal Roof,checkbox,,80,80,each,"small, large",,,,,
Cupolas,Weathervane,Weathervane,radio,Rooster,65,65,each,"small, large",,,,,
Cupolas,Weathervane,Weathervane,radio,Horse & Carriage,65,65,each,"small, large",,,,,
Cupolas,Weathervane,Weathervane,radio,Horse  ,65,65,each,"small, large",,,,,
Cupolas,Weathervane,Weathervane,radio,Eagle,65,65,each,"small, large",,,,,
Cupolas,Weathervane,Weathervane,radio,None,0,,each,"small, large",,,,,
Cupolas,Add-Ons,Add 110v Light Inside Cupola,checkbox,,30,,each,"small, large",,,,,
Cupolas,Custom,Custom Field,text,,,,each,"small, large",,,,,
Cupolas,Custom,Custom Field,text,,,,each,"small, large",,,,,
Shelves,Shelves,8' x 1' (2 x 4 Joists),numeric,,40,,each,small,,,,,small shelf.png
Shelves,Shelves,10' x 1' (2 x 4 Joists),numeric,,45,,each,small,,,,,small shelf.png
Shelves,Shelves,12' x 1' (2 x 6 Joists),numeric,,55,,each,small,,,,,small shelf.png
Shelves,Shelves,14' x 1' (2 x 6 Joists),numeric,,60,,each,small,,,,,small shelf.png
Shelves,Shelves,16' x 1' (2 x 6 Joists),numeric,,70,,each,small,,,,,small shelf.png
Shelves,Shelves,8' x 2' (2 x 4 Joists),numeric,,50,,each,small,,,,,big shelf.png
Shelves,Shelves,10' x 2' (2 x 4 Joists),numeric,,60,,each,small,,,,,
Shelves,Shelves,12' x 2' (2 x 6 Joists),numeric,,80,80,each,"small, large",,,,,
Shelves,Shelves,14' x 2' (2 x 6 Joists),numeric,,90,90,each,"small, large",,,,,
Shelves,Shelves,16' x 2' (2 x 6 Joists),numeric,,100,100,each,"small, large",,,,,
Shelves,Work Bench,8 x 2 work bench ,numeric,,130,130,each,"small, large",,,,,
Shelves,Work Bench,10 x 2 work bench,numeric,,150,155,each,"small, large",,,,,
Shelves,Work Bench,12 x 2 work bench,numeric,,170,175,each,"small, large",,,,,
Shelves,Custom,Custom Field,text,,,,each,"small, large",,,,,
Lofts,Lofts,"8' x 4' (2 x 4 Joists 24"" O/C)",numeric,,65,,each,small,,,,,loft.png
Lofts,Lofts,"10' x 4' (2 x 4 Joists 24"" O/C)",numeric,,75,,each,small,,,,,loft.png
Lofts,Lofts,"12' x 4' (2 x 6 Joists 24"" O/C)",numeric,,115,115,each,"small, large",,,,,loft.png
Lofts,Lofts,"14' x 4' (2 x 8 Joists 16"" O/C)",numeric,,135,145,each,"small, large",,,,,loft.png
Lofts,Lofts,"16' x 4' (2 x 8 Joists 16"" O/C)",numeric,,155,165,each,"small, large",,,,,loft.png
Lofts,Lofts,"2 x 8 Joists w/ 5/8"" Plywood",checkbox,,,3,sq_ft,large,,,,,
Lofts,Lofts,"2 x 10 Joists w/ 3/4"" Plywood",checkbox,,,3.65,sq_ft,large,,,,,
Lofts,Lofts,"I-Joists w/ 3/4"" Plywood",checkbox,,,4.5,sq_ft,large,,,,,
Lofts,Steps,Loft Steps With Handrail,checkbox,,,455,each,large,,,,,
Lofts,Steps,Loft Steps With Landing & Handrail,checkbox,,,680,each,large,,,,,
Lofts,Steps,1 x 4 Pine Railing,checkbox,,,600,each,large,,,,,
Lofts,Steps,Risers on Steps,checkbox,,,105,each,large,,,,,
Lofts,Steps,Pull-Down Steps,checkbox,,,286,each,large,,,,,
Lofts,Steps,Stair Ladder,checkbox,,,280,each,large,,,,,
Lofts,Steps,Exterior Treated Landing w/ 3 Treads,checkbox,,,286,each,large,,,,,
Lofts,Steps,Additional Exterior Tread,numeric,,,45,each,large,,,,,
Lofts,Steps,Additional Exterior  Landing,numeric,,,370,each,large,,,,,
Lofts,Custom,Custom Field,text,,,,each,"small, large",,,,,
Roof,Roof,Roof,radio,,,,sq_ft,"small, large",,,,,
Roof,Roof,Roof,radio,15# Felt Paper,0.3,,sq_ft,small,,,,,
Roof,Roof,Roof,radio,Metal Roof,1.95,,sq_ft,small,,,,,
Roof,Roof,Roof,radio,Metal Roof on Mini & Craftsman,4.25,,sq_ft,small,,,,,
Roof,Roof,Roof,radio,Metal Roof on Garage & Cedar Brooke,1.65,,sq_ft,large,,,,,
Roof,Roof,Roof,radio,Metal Roof on Dutch Barn & Cabin,2.95,,sq_ft,large,,,,,
Roof,Roof,Roof,radio,None,0,,sq_ft,"small, large",,,,,
Roof,Roof,Metal Roof Color,select,Black,,,each,"small, large",,,,FALSE,
Roof,Roof,Metal Roof Color,select,Brite Red,,,each,"small, large",,,,FALSE,
Roof,Roof,Metal Roof Color,select,Bronze,,,each,"small, large",,,,FALSE,
Roof,Roof,Metal Roof Color,select,Brown,,,each,"small, large",,,,FALSE,
Roof,Roof,Metal Roof Color,select,Burgundy,,,each,"small, large",,,,FALSE,
Roof,Roof,Metal Roof Color,select,Charcoal,,,each,"small, large",,,,FALSE,
Roof,Roof,Metal Roof Color,select,Clay,,,each,"small, large",,,,FALSE,
Roof,Roof,Metal Roof Color,select,Copper,,,each,"small, large",,,,FALSE,
Roof,Roof,Metal Roof Color,select,Gallery Blue,,,each,"small, large",,,,FALSE,
Roof,Roof,Metal Roof Color,select,Galvalume,,,each,"small, large",,,,FALSE,
