"Style","Width","Length","Feature","SQ FT","Post Amount","Pitch","Beam Height","Color - Option","Pine Staining - Option","Duratemp Staining - Option","Duratemp Painting - Option","Pine Painting - Option","Z1 Prebuilt","Z1 AOS","Z2 Prebuilt","Z2 AOS","Z3 Prebuilt","Z3 AOS","Z4 Prebuilt","Z4 AOS","Z5 Prebuilt","Z5 AOS","Z6 Prebuilt","Z6 AOS","Z7 Prebuilt","Z7 AOS","Z1 Duracolumn","Z2 Duracolumn","Z3 Duracolumn","Z4 Duracolumn","Z5 Duracolumn","Z6 Duracolumn","Z7 Duracolumn"
"Timber Ridge",16,32,"Solid Cedar",512,6,10,8,"$2,167 ","$2,167 ","$2,167 ","$2,167 ","$2,167 ","N/A","$21,166 ","N/A","$22,060 ","N/A","$22,745 ","N/A","$23,093 ","N/A","$23,441 ","N/A","$23,789 ","N/A","$24,138 ","$3,920 ","$3,990 ","$4,060 ","$4,131 ","$4,201 ","$4,271 ","$4,341 "
"Timber Ridge",20,20,"Solid Pine",400,6,10,8,"$2,089 ","$2,089 ","$2,089 ","$2,089 ","$2,089 ","N/A","$11,932 ","N/A","$12,471 ","N/A","$12,893 ","N/A","$13,125 ","N/A","$13,358 ","N/A","$13,590 ","N/A","$13,822 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Timber Ridge",20,20,"Solid Cedar",400,6,10,8,"$2,089 ","$2,089 ","$2,089 ","$2,089 ","$2,089 ","N/A","$17,897 ","N/A","$18,707 ","N/A","$19,340 ","N/A","$19,688 ","N/A","$20,036 ","N/A","$20,385 ","N/A","$20,733 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Timber Ridge",20,24,"Solid Pine",480,6,10,8,"$2,159 ","$2,159 ","$2,159 ","$2,159 ","$2,159 ","N/A","$13,051 ","N/A","$13,620 ","N/A","$14,059 ","N/A","$14,291 ","N/A","$14,524 ","N/A","$14,756 ","N/A","$14,988 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Timber Ridge",20,24,"Solid Cedar",480,6,10,8,"$2,159 ","$2,159 ","$2,159 ","$2,159 ","$2,159 ","N/A","$19,577 ","N/A","$20,429 ","N/A","$21,089 ","N/A","$21,437 ","N/A","$21,785 ","N/A","$22,134 ","N/A","$22,482 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Timber Ridge",20,28,"Solid Pine",560,6,10,8,"$2,370 ","$2,370 ","$2,370 ","$2,370 ","$2,370 ","N/A","$14,920 ","N/A","$15,568 ","N/A","$16,068 ","N/A","$16,331 ","N/A","$16,594 ","N/A","$16,857 ","N/A","$17,120 ","$3,150 ","$3,220 ","$3,290 ","$3,361 ","$3,431 ","$3,501 ","$3,571 "
"Timber Ridge",20,28,"Solid Cedar",560,6,10,8,"$2,370 ","$2,370 ","$2,370 ","$2,370 ","$2,370 ","N/A","$22,380 ","N/A","$23,352 ","N/A","$24,102 ","N/A","$24,496 ","N/A","$24,891 ","N/A","$25,285 ","N/A","$25,680 ","$3,150 ","$3,220 ","$3,290 ","$3,361 ","$3,431 ","$3,501 ","$3,571 "
"Timber Ridge",20,32,"Solid Pine",640,6,10,8,"$2,709 ","$2,709 ","$2,709 ","$2,709 ","$2,709 ","N/A","$16,468 ","N/A","$17,156 ","N/A","$17,680 ","N/A","$17,943 ","N/A","$18,206 ","N/A","$18,469 ","N/A","$18,732 ","$3,920 ","$3,990 ","$4,060 ","$4,131 ","$4,201 ","$4,271 ","$4,341 "
"Timber Ridge",20,32,"Solid Cedar",640,6,10,8,"$2,709 ","$2,709 ","$2,709 ","$2,709 ","$2,709 ","N/A","$24,702 ","N/A","$25,734 ","N/A","$26,521 ","N/A","$26,915 ","N/A","$27,309 ","N/A","$27,704 ","N/A","$28,098 ","$3,920 ","$3,990 ","$4,060 ","$4,131 ","$4,201 ","$4,271 ","$4,341 "
"Bradford",10,10,"Solid Pine",100,4,7,8,"$1,193 ","$1,193 ","$1,193 ","$1,193 ","$1,193 ","N/A","$4,465 ","N/A","$4,658 ","N/A","$4,807 ","N/A","$4,885 ","N/A","$4,964 ","N/A","$5,042 ","N/A","$5,120 ","$1,390 ","$1,460 ","$1,530 ","$1,601 ","$1,671 ","$1,741 ","$1,811 "
